dutch,english
"aanbieden, bood, boden aan, hebben aangeboden","to offer aangeven, gaf, gaven aan, hebben"
aangegeven,"to pass aanvallen, viel(en) aan, hebben"
aangevallen,to attack
"doorgaan, ging(en) door, zijn doorgegaan",to proceed
"lesgeven, gaf, gaven les, hebben lesgegeven","to teach meebrengen, bracht(en) mee, hebben"
meegebracht,"to bring ophangen, hing(en) op, hebben"
opgehangen,to hang
"oplossen, loste(n) op, hebben opgelost","to solve plaatsvinden, vond(en) plaats, hebben"
plaatsgevonden,"to take place rondlopen, liep(en) rond, hebben"
rondgelopen,to walk about
vast(e),fixed
"voorbereiden, bereidde(n) voor, hebben voorbereid",to prepare
