dutch,english
bang(e),afraid
"bewaren, bewaarde(n), hebben bewaard",to save
"de brand, de branden",fire
"de dief, de dieven",thief
dringend(e),urgent
ernstig(e),serious
gevaarlijk(e),dangerous
"het gevonden voorwerp, de gevonden voorwerpen","lost and found huilen, huilde(n), hebben"
gehuild,to cry
"de jas, de jassen",jacket
landelijk(e),national
de politie,police
"de situatie, de situaties",situation
"slaan, sloeg(en), hebben geslagen",beat
"verliezen, verloor, verloren, hebben verloren",to loose
"de wijk, de wijken",district
